,name,frequence
816,Gweltaz,1
817,Gwenaël,2
818,Gwenaële,1
819,Gwénaëlle,4
820,Gwendal,1
821,Gwendoline,3
822,Gwenhaël,1
823,Gwenn,1
824,Gwennaelle,1
825,Gwennoline,1
826,Gwenola,1
827,Gwénolé,1
828,Gysèle,1
829,Gyslaine,1
830,Hadrien,1
831,Harmonie,1
832,Hector,1
833,Hedwige,1
834,Héléna,3
835,Hélène,7
836,Heliette,1
837,Héloïse,2
838,Hélyette,1
839,Henri,7
840,Henriane,1
841,Henriette,5
842,Henrique,1
843,Hermance,1
844,Hermeline,1
845,Hermine,1
846,Herminie,1
847,Hervé,7
848,Herveline,1
849,Hilaire,1
850,Hilarion,1
851,Hildegarde,1
852,Hippolyte,1
853,Honorat,1
854,Honoré,1
855,Honorée,1
856,Honorin,1
857,Honorine,1
858,Horace,1
859,Hortense,2
860,Hubert,5
861,Huberte,1
862,Hugo,4
863,Hugues,4
864,Huguette,6
865,Hyacinthe,1
866,Ida,2
867,Ignace,1
868,Inès,4
869,Ingrid,4
870,Innocent,1
871,Irène,5
872,Irénée,1
873,Irma,2
874,Isabeau,1
875,Isabelle,8
876,Isaïe,1
877,Isaline,1
878,Isaure,1
879,Iseline,1
880,Isidore,1
881,Isis,1
882,Isoline,1
883,Ivan,2
884,Ivanne,1
885,Ivette,1
886,Ivonne,1
887,Jacinthe,1
888,Jack,3
889,Jackie,4
890,Jacky,6
891,Jacquelin,1
892,Jacqueline,8
893,Jacques,8
894,Jacquie,1
895,Jade,2
896,Jaki,1
897,Jakie,1
898,Jaky,1
899,James,4
900,Janette,1
901,Janick,2
902,Janine,5
903,Janique,1
904,Jannine,1
905,Janny,1
906,Jany,2
907,Jaouen,1
908,Jasmine,1
909,Jean,B
910,Jean-Claude,7
911,Jeanick,1
912,Jeanine,5
913,Jeaninne,1
914,Jean-Luc,6
915,Jean-Marie,6
916,Jeanne,8
917,Jeannette,4
918,Jeannick,1
919,Jeannie,1
920,Jeannine,7
921,Jeannot,1
922,Jean-Paul,6
923,Jean-Pierre,7
924,Jehan,1
925,Jehanne,1
926,Jennifer,5
927,Jenny,2
928,Jennyfer,1
929,Jérémi,1
930,Jérémie,4
931,Jérémy,6
932,Jérôme,7
933,Jéromine,1
934,Jessica,5
935,Jessy,2
936,Jessyca,1
937,Jimmy,4
938,Joachim,2
939,Joan,1
940,Joane,1
941,Joanne,1
942,Joanny,1
943,Joceline,1
944,Jocelyne,6
945,Joé,1
946,Joël,7
947,Joële,1
948,Joëlle,6
949,Joévin,1
950,Joffrette,1
951,Joffrey,2
952,Johane,1
953,Johanie,1
954,Johanna,3
955,Johanne,1
956,Johanny,1
957,John,3
958,Johnny,3
959,Johny,1
960,Jonathan,5
961,Jorane,1
962,Jordan,4
963,Jordane,1
964,Jordi,1
965,Jordy,1
966,Joris,2
967,Josceline,1
968,Joscelyne,1
969,José,6
970,Josée,3
971,Joseline,1
972,Joselyne,2
973,Joseph,7
974,Josèphe,3
975,Joséphine,5
976,Josette,7
977,Josiane,6
978,Josselin,1
979,Josseline,2
980,Josselyn,1
981,Josselyne,1
982,Josyane,1
983,Josyanne,1
984,Joyce,1
985,Juan,2
986,Jude,1
987,Judicaël,1
988,Judicaëlle,1
989,Judith,2
990,Jules,4
991,Julia,4
992,Julie,6
993,Julien,7
994,Julienne,3
995,Juliette,5
996,Juline,1
997,Justin,2
998,Justine,4
999,Justinien,1
1000,Kaelig,1
1001,Karel,1
1002,Karelle,1
1003,Karen,3
1004,Karène,1
1005,Karine,6
1006,Karyne,1
1007,Kassandra,1
1008,Katel,1
1009,Kateline,1
1010,Katell,1
1011,Kathia,1
1012,Kathleen,1
1013,Katia,4
1014,Katy,2
1015,Kelig,1
1016,Kevin,6
1017,Killian,2
1018,Klervi,1
1019,Korentin,1
1020,Kristell,1
1021,Kristelle,1
1022,Krystelle,1
1023,Kylian,1
1024,Laeticia,1
1025,Laetitia,6
1026,Laëtitia,4
1027,Lambert,1
1028,Landry,1
1029,Laura,5
1030,Lauralie,1
1031,Laurana,1
1032,Laurane,1
1033,Lauranne,1
1034,Laure,6
1035,Laureen,1
1036,Laureline,1
1037,Laurence,7
1038,Laurène,2
1039,Laurent,8
1040,Laurentine,1
1041,Laurette,2
1042,Lauriane,2
1043,Laurianne,1
1044,Laurie,3
1045,Laurine,2
1046,Laury,1
1047,Lauryn,1
1048,Lauryne,1
1049,Lazare,1
1050,Léa,5
1051,Léandra,1
1052,Léandre,1
1053,Léane,1
1054,Léanne,1
1055,Léna,2
1056,Lénaïc,1
1057,Lenaick,1
1058,Lenaig,1
1059,Lenaik,1
1060,Léo,3
1061,Léocadia,1
1062,Léocadie,1
1063,Léon,5
1064,Léona,1
1065,Léonard,2
1066,Léonce,1
1067,Léoncia,1
1068,Léoncie,1
1069,Léone,3
1070,Léonide,1
1071,Léonie,3
1072,Léonne,1
1073,Léonor,1
1074,Léonore,1
1075,Léontine,2
1076,Léopold,2
1077,Léopoldine,1
1078,Leslie,3
1079,Letitia,1
1080,Lidwine,1
1081,Lila,2
1082,Lilas,1
1083,Lilette,1
1084,Lilian,3
1085,Liliane,6
1086,Lilianne,1
1087,Lilie,1
1088,Lilou,1
1089,Lilyane,1
1090,Lina,3
1091,Linda,4
1092,Line,3
1093,Lionel,6
1094,Lionelle,1
1095,Lionnel,1
1096,Lisa,4
1097,Lise,3
1098,Lisette,2
1099,Lisianne,1
1100,Lison,1
1101,Livie,1
1102,Loan,1
1103,Loane,1
1104,Loïc,6
1105,Loïck,1
1106,Loïg,1
1107,Loïk,1
1108,Loïs,1
1109,Loïse,1
1110,Lola,2
1111,Lolita,2
1112,Loraine,1
1113,Lorena,1
1114,Lorène,1
1115,Lorette,1
1116,Loriane,1
1117,Lorianne,1
1118,Loric,1
1119,Lorine,1
1120,Lorraine,1
1121,Lorris,1
1122,Lorry,1
